Brand,Mark,Title,Hlink,Year,Transmission,Fuel,Type,Run,Cost
Tata,Indica,Tata Indica II,https://cars.av.by/tata/indica/16119871,2010,механика,бензин,хэтчбэк,65000,4 106
Tata,Safari,Tata Safari I,https://cars.av.by/tata/safari/13999532,2001,механика,дизель,внедорожник,280000,5 350
