Citroen,Berlingo,Citroen Berlingo I (рестайлинг),https://cars.av.by/citroen/berlingo/16535606,2003,с пробегом,150000,дизель,2000,другой,минивэн,Механика,Передний,4 800
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16582103,2000,с пробегом,300000,дизель,1900,белый,минивэн,Механика,Передний,2 300
Citroen,Berlingo,Citroen Berlingo II,https://cars.av.by/citroen/berlingo/16553947,2008,с пробегом,254000,дизель,1600,белый,легковой фургон,Механика,Передний,6 234
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16593133,2001,с пробегом,380000,дизель,2000,серебристый,легковой фургон,Механика,Передний,2 500
Citroen,Berlingo,Citroen Berlingo II (рестайлинг),https://cars.av.by/citroen/berlingo/16227974,2013,с пробегом,370000,бензин,1600,белый,легковой фургон,Механика,Передний,6 900
Citroen,Berlingo,Citroen Berlingo II XTR,https://cars.av.by/citroen/berlingo/14689956,2012,с пробегом,115000,бензин,1600,синий,минивэн,Механика,Передний,9 600
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16383283,2001,с пробегом,300000,дизель,1900,синий,легковой фургон,Механика,Передний,2 500
Citroen,Berlingo,Citroen Berlingo I (рестайлинг),https://cars.av.by/citroen/berlingo/16511763,2007,с пробегом,190000,бензин,1400,красный,легковой фургон,Механика,Передний,2 700
Citroen,Berlingo,Citroen Berlingo II (2-й рестайлинг) cargo,https://cars.av.by/citroen/berlingo/16522034,2017,с пробегом,127000,дизель,1600,белый,легковой фургон,Механика,Передний,14 700
Citroen,Berlingo,Citroen Berlingo I,https://cars.av.by/citroen/berlingo/16394084,2001,с пробегом,334000,бензин,1600,красный,минивэн,Механика,Передний,3 050
Citroen,Berlingo,Citroen Berlingo II Рестайлинг,https://cars.av.by/citroen/berlingo/16574992,2008,с пробегом,230000,дизель,1600,белый,легковой фургон,Механика,Передний,5 199
Citroen,Berlingo,Citroen Berlingo II,https://cars.av.by/citroen/berlingo/16467715,2011,с пробегом,134000,бензин,1600,серебристый,минивэн,Механика,Передний,8 300
